Subject ID	Study UID	Series ID	MFR	MFS	VRX	VRY	VRZ	ROWS	COLS	TR	TE	NUM	MEAN	RNG	VAR	CV	CPP	PSNR	SNR1	SNR2	SNR3	SNR4	CNR	CVP	CJV	EFC	FBER	t-SNE_x	t_SNE_y	UMAP_x	UMAP_y
TCGA-VS-A8EB	1.3.6.1.4.1.14519.5.2.1.6354.4022.138433740004929571174776420151	1.3.6.1.4.1.14519.5.2.1.6354.4022.658390582597899341719337128517	Philips Medical Systems	3.0	0.3	0.3	3.5	576	576	4516.25	90.0	32	119.72612448619392	404.4516129032258	6000.411606123096	64.74260684078949	0.10476712523490392	9.32050237808057	5.108023765472178	23.732382853069343	17.189683633551038	10.652288412029307	9.55874687622036	0.10248520489252873	0.8635087567928402	3.2924044259976584	825.6453383764267	-72.69178771972656	-67.85933685302734	8.100444	5.334015
TCGA-VS-A8EC	1.3.6.1.4.1.14519.5.2.1.6354.4022.295964778113729185134283478132	1.3.6.1.4.1.14519.5.2.1.6354.4022.189008391935662065413703649398	GE MEDICAL SYSTEMS	1.5	0.82	0.82	7.0	512	512	2800.0	80.06	38	526.7056863480021	1253.054054054054	44362.635140224855	47.18842500911751	0.0	12.66324721279902	12.787559463507906	69.3058546881131	15.193572680211268	14.851888003315484	13.821793395721144	0.09899855025452076	0.524518694864934	1.9299302979872663	1805.9112755683263	62.85826873779297	153.40126037597656	9.958051	-1.6657366000000002
TCGA-VS-A8EG	1.3.6.1.4.1.14519.5.2.1.6354.4022.174495913735224729853904842299	1.3.6.1.4.1.14519.5.2.1.6354.4022.119151324487531937695264025025	GE MEDICAL SYSTEMS	1.5	0.43	0.43	3.0	512	512	3466.67	112.43	30	483.8832167446648	1562.7586206896551	92168.20516054398	62.890963511180495	0.05278464021353886	9.227421704342461	6.877673737987008	26.99948442723913	6.868352813239343	8.260096522613573	7.530275924636773	0.25975588544635514	0.7888275061712503	3.1441778201200288	1044.3466146022417	3.4371252059936523	21.051876068115234	8.344372	1.1281992
TCGA-VS-A8EH	1.3.6.1.4.1.14519.5.2.1.6354.4022.624111080601803447061323803190	1.3.6.1.4.1.14519.5.2.1.6354.4022.115769109485387365267344685347	GE MEDICAL SYSTEMS	1.5	0.43	0.43	3.0	512	512	7483.34	113.83	32	731.694140111701	2929.064516129032	234230.06115540964	65.92938752834714	0.4138418166868149	11.337051000981589	7.906446837213025	37.58870768801643	5.388136709574886	9.424559157378829	8.33831632322883	0.22516126041067525	0.8497855616433947	2.9029129285545627	71.53537238183608	68.96184539794922	37.14495849609375	8.878767999999999	0.5671201
TCGA-VS-A8EI	1.3.6.1.4.1.14519.5.2.1.6354.4022.706229597395275297760561131304	1.3.6.1.4.1.14519.5.2.1.6354.4022.309848136421857533250946697396	Philips Medical Systems	3.0	0.3	0.3	3.0	576	576	5927.58	90.0	42	105.81547808902228	361.6585365853659	4148.427709306732	60.952949868381346	0.10125839017450504	9.462158527699136	6.280844289492923	28.98311911082921	11.678123505930829	9.258928746114636	8.45050952704667	0.1800914938008675	0.7650824516597736	3.365414695256797	178.18568672839507	4.965167999267578	-52.85831832885742	8.708952	4.925031
TCGA-VS-A8EJ	1.3.6.1.4.1.14519.5.2.1.6354.4022.236369932660652507802953436605	1.3.6.1.4.1.14519.5.2.1.6354.4022.126190038627137070786334816494	SIEMENS	1.5	0.98	0.98	5.0	256	252	4420.0	117.0	40	129.38042329964966	430.46153846153845	5857.456770329597	59.15926317263185	0.12173480545062575	9.788373516205594	2.7483497026656343	12.154279903857635	10.270634375429607	11.678331721334336	9.657516105674663	0.19239556431602992	1.070970511510223	3.825884416411875	93.51278272488493	117.29499053955078	-11.599957466125488	6.9893885	1.7056668999999998
TCGA-VS-A8EK	1.3.6.1.4.1.14519.5.2.1.6354.4022.251250697388413100370617857619	1.3.6.1.4.1.14519.5.2.1.6354.4022.152674026276153323965489530488	SIEMENS	1.5	0.62	0.62	3.5	320	320	4640.0	88.0	20	385.1819600209356	1088.7368421052631	37936.800812192756	50.40175518945778	0.3040061549136513	9.005047032785518	4.338289017252613	15.964198954593599	4.512759961108996	5.9151274981883954	4.759704201654452	0.3256163982878461	0.7111062905844087	3.5067159949474216	130.57916373002385	61.61233901977539	-12.930011749267578	7.5953326	2.067425
TCGA-VS-A8EL	1.3.6.1.4.1.14519.5.2.1.6354.4022.239743029337013113233861728339	1.3.6.1.4.1.14519.5.2.1.6354.4022.112709417851437340937772188251	SIEMENS	1.5	0.74	0.74	4.0	256	256	4820.0	119.0	30	158.29607718500358	537.8275862068965	10120.009142587012	63.516004877652435	0.6519123603557718	9.276355825578284	3.7280756174963057	13.446486506096795	4.4429421044233735	7.563254768640113	6.74860778935649	0.33627168296059473	0.9896303780726368	3.9114833348199824	52.93778761447813	82.97409057617188	-47.89915466308594	6.6541224	1.8421841
TCGA-VS-A8Q8	1.3.6.1.4.1.14519.5.2.1.6354.4022.318523236742065163815756938689	1.3.6.1.4.1.14519.5.2.1.6354.4022.185852278704992548214892248516	SIEMENS	1.5	0.86	0.86	3.0	252	256	4730.0	117.0	30	176.83710154353975	609.8965517241379	15326.03564727811	69.886046834425	0.5707773293180418	9.21619585923174	3.195910083580976	10.850418834942236	5.595549355131012	6.079742749011418	5.097417306432392	0.2787308467724747	1.3381203330631868	3.761067766744783	24.570977185908298	101.7926025390625	-63.39829635620117	6.6897163	1.9607120999999998
TCGA-VS-A8Q9	1.3.6.1.4.1.14519.5.2.1.6354.4022.180254875989691317185723397543	1.3.6.1.4.1.14519.5.2.1.6354.4022.333983108301342260315005623169	Philips Medical Systems	3.0	0.29	0.29	3.0	512	512	3531.88	90.0	25	132.4589353560493	365.375	3968.828486572751	47.64617926828124	0.1401579976081848	7.958007742137103	7.698552234755037	34.50656305781356	7.661060090103913	6.8513303417096125	6.236072799074018	0.2405190297398071	0.5860999133656654	3.688801128938064	0.0	-46.69503784179688	-10.224654197692873	8.411599	3.2004473
